Sample	L_sinapis-DNA-BLab	No_hits	Lotus_corniculatus-genomic-NCBI	23S_28S_LSU_rRNA_insecta-SILVA	Adapters_Illumina	Lotus_japonicus-genomic	16S_18S_SSU_rRNA_insecta-SILVA	5S_rRNA_Rfam-EMBL-EBI-all_species	5_8S_rRNA_Rfam-EMBL-EBI-all_species	Multiple_Genomes	Wolbachia-DNA-ensembl	Drosophila_ensembl	Human_ensembl	L_sinapis-repeats-BLab
P11917_134_S81_R2_001_SORTMERNA_CLEAN_screen	9303947.0	452953.0	0.0	0.0	0.0	778.0	1.0	0.0	0.0	628771.0	109.0	850.0	1395.0	33.0
P11917_135_S82_R1_001_SORTMERNA_CLEAN_screen	12292002.0	361664.0	0.0	0.0	1.0	1098.0	0.0	0.0	0.0	443085.0	1090.0	1397.0	3374.0	63.0
P11917_135_S82_R2_001_SORTMERNA_CLEAN_screen	12205532.0	452080.0	0.0	0.0	0.0	1578.0	0.0	0.0	0.0	438889.0	1091.0	1409.0	3089.0	106.0
P11917_136_S83_R1_001_SORTMERNA_CLEAN_screen	10030157.0	225050.0	0.0	0.0	1.0	671.0	0.0	0.0	0.0	613613.0	530.0	725.0	1165.0	87.0
P11917_136_S83_R2_001_SORTMERNA_CLEAN_screen	9964130.0	282671.0	0.0	0.0	0.0	960.0	0.0	0.0	0.0	621939.0	531.0	652.0	1080.0	36.0
P11917_137_S84_R1_001_SORTMERNA_CLEAN_screen	5280497.0	528441.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	242853.0	73.0	290.0	786.0	9.0
P11917_137_S84_R2_001_SORTMERNA_CLEAN_screen	5241105.0	564760.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	245870.0	77.0	278.0	737.0	16.0
P11917_138_S85_R1_001_SORTMERNA_CLEAN_screen	7515602.0	131169.0	0.0	0.0	0.0	327.0	0.0	0.0	0.0	549575.0	529.0	383.0	485.0	20.0
P11917_138_S85_R2_001_SORTMERNA_CLEAN_screen	7455041.0	172979.0	0.0	0.0	0.0	424.0	0.0	0.0	0.0	568266.0	555.0	349.0	460.0	16.0
P11917_139_S86_R1_001_SORTMERNA_CLEAN_screen	7606646.0	878023.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	490882.0	220.0	630.0	1131.0	14.0
