Sample_ID Raw_reads  TrimGalore  Prinseq  CutAdapt  Condetri  SortMeRNA  Map_lept_rep  Mapped_lept one_hit mult_hits
P11917_166_S113_R1 17932387 17110636.0 15800046.0 15451223.0 15202077.0 14475595.0 0.53 95.54 61.71 26.04
P11917_166_S113_R2 17932387 17110636.0 15800046.0 15451223.0 15202077.0 14475595.0 0.51 95.01 60.90 25.79
P11917_167_S114_R1 15420375 13973232.0 11908173.0 11023097.0 10773531.0 9417687.0 1.12 86.2 38.99 44.78
P11917_167_S114_R2 15420375 13973232.0 11908173.0 11023097.0 10773531.0 9417687.0 1.1 85.97 38.38 44.99
P11917_168_S115_R1 12207701 11470456.0 10236931.0 9593003.0 9417723.0 9094716.0 1.22 91.89 49.36 39.48
P11917_168_S115_R2 12207701 11470456.0 10236931.0 9593003.0 9417723.0 9094716.0 1.12 91.49 49.16 39.30
P11917_169_S116_R1 15014177 14604433.0 13601430.0 12681461.0 12478066.0 12151915.0 2.22 97.33 59.88 34.31
P11917_169_S116_R2 15014177 14604433.0 13601430.0 12681461.0 12478066.0 12151915.0 2.13 96.48 60.50 32.91
P11917_170_S117_R1 13554314 13079874.0 12053302.0 11203487.0 11023406.0 10554429.0 1.21 96.97 52.48 41.36
P11917_170_S117_R2 13554314 13079874.0 12053302.0 11203487.0 11023406.0 10554429.0 1.15 96.38 52.73 40.58
P11917_171_S118_R1 15632445 14997219.0 13826152.0 13461016.0 13241125.0 11431633.0 1.13 88.91 52.41 34.24
P11917_171_S118_R2 15632445 14997219.0 13826152.0 13461016.0 13241125.0 11431633.0 1.09 88.36 52.61 33.52
P11917_172_S119_R1 13829138 13189455.0 12149039.0 11948296.0 11749721.0 8594591.0 0.79 93.14 51.51 40.14
P11917_172_S119_R2 13829138 13189455.0 12149039.0 11948296.0 11749721.0 8594591.0 0.77 92.16 51.46 39.25
