gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000009389,75,78,47,44,65,79,0,74,37,54,230,273,128,365,68,75,80,106
leptidea_sinapisG00000009388,1267,1652,4105,1056,2745,2076,300,4483,1877,2097,1560,72,30,140,16,28,22,47
leptidea_sinapisG00000005420,37,54,3,0,17,17,0,4,8,13,15,9,5,3,15,0,4,13
leptidea_sinapisG00000005158,3,4,0,0,2,2,0,0,1,4,1,3,7,0,0,4,4,8
leptidea_sinapisG00000005159,803,508,643,211,287,206,47,1013,133,120,1391,1365,794,3542,993,923,408,901
leptidea_sinapisG00000005154,25,33,29,0,71,18,0,33,0,0,15,74,17,101,56,45,24,28
leptidea_sinapisG00000005155,1506,1116,3734,810,995,585,379,2494,789,512,5346,3817,5314,11526,1965,2575,4294,5279
leptidea_sinapisG00000005156,775,814,26,0,498,672,0,119,156,325,393,254,575,1782,745,691,397,432
leptidea_sinapisG00000005157,17,12,0,0,0,11,0,0,3,0,0,0,2,0,86,166,454,12
leptidea_sinapisG00000005150,282,254,279,79,167,141,24,66,99,73,129,220,175,595,131,82,86,198
leptidea_sinapisG00000010019,954,947,1517,215,2592,1986,216,907,1260,901,1789,2527,4038,12729,4362,4336,4458,5197
leptidea_sinapisG00000005152,285,138,487,134,195,105,27,287,161,76,217,337,486,1508,164,78,109,296
leptidea_sinapisG00000000433,10,8,0,0,6,0,0,8,0,1,17,46,19,0,17,8,7,14
leptidea_sinapisG00000007804,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
leptidea_sinapisG00000007805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
leptidea_sinapisG00000007806,38,29,37,0,24,12,11,10,10,5,42,50,219,474,57,65,75,212
leptidea_sinapisG00000007807,11,0,9,0,4,13,0,8,0,3,38,45,30,62,43,40,25,7
leptidea_sinapisG00000007800,357,296,395,52,468,278,14,101,112,137,403,815,589,1751,257,292,167,590
leptidea_sinapisG00000007801,4,2,14,6,2,3,0,1,0,0,2,8,2,12,2,7,11,0
leptidea_sinapisG00000007802,219,164,110,60,165,95,22,89,45,44,219,721,555,1323,254,194,95,515
leptidea_sinapisG00000007803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008261,3,6,6,0,2,0,0,0,0,0,5,2,10,0,0,0,0,0
